^Nr;0;0;smoothed;smoothed;smoothed
489;6.155168343;4.828761147;4.807041991;4.860474631;4.828761147
490;5.906141113;5.365354308;5.131786323;5.225718384;5.365354308
491;2.468117915;6.125803402;4.110689997;4.965701612;6.125803402
492;6.115503566;6.869752092;5.713472623;5.091187542;6.869752092
493;7.959361925;7.320950299;6.302517741;5.412703815;7.320950299
494;3.801117851;8.40766437;6.356741999;6.715975912;8.40766437
495;8.77204501;9.244692355;6.652269901;7.945198367;9.244692355
496;8.187802012;9.751559881;10.10858853;9.521361194;9.751559881
497;12.09475708;10.16536813;9.46419902;11.15055443;10.16536813
498;8.130102354;10.5943771;11.04312603;11.76831725;10.5943771
499;14.62087399;10.85743813;13.35503707;13.13494388;10.85743813
500;15.90883191;10.82523545;14.21517226;13.28800741;10.82523545
501;11.10383344;11.21375801;15.08982319;13.34622996;11.21375801
502;19.07509849;11.55945673;14.6032823;13.56908729;11.55945673
